      0.0143541        0.99929       0.372812       0.627628       0.684211              1     0.00893471       0.999307       0.374164       0.626169       0.683527       0.995465     0.00647249
      0.0127592       0.999188       0.366838       0.630631       0.687368              1      0.0103093       0.999293       0.372706       0.627885        0.68448       0.996599     0.00647249
      0.0191388              0       0.363543       0.627628       0.684211       0.993197      0.0126002       0.999278       0.370894       0.628314       0.684982       0.997732     0.00485437
      0.0239234        0.99928       0.369825       0.630631       0.687719       0.993197      0.0151203       0.999277       0.370599       0.628457       0.685483       0.997732     0.00809061
              0        0.99929       0.374871       0.635636       0.684211       0.993197       0.016953       0.999288       0.371218       0.630187       0.685885       0.997732       0.012945
      0.0191388       0.999188       0.364676        0.63964       0.684211       0.993197      0.0180985       0.999288       0.370054       0.631646       0.685885       0.996599     0.00809061
      0.0207337       0.999188       0.373841       0.635636       0.684211       0.993197      0.0187858       0.999274       0.369907       0.632504       0.685885       0.995465     0.00809061
      0.0207337       0.999188       0.378991       0.638639       0.680702       0.986395      0.0197022       0.999259       0.370791       0.634063       0.685383       0.994331     0.00809061
      0.0191388       0.999188       0.378991       0.637638       0.680702       0.986395      0.0203895       0.999259       0.372529       0.635064        0.68443       0.992064     0.00323625
      0.0223285        0.99929       0.377961       0.645646       0.680702       0.986395      0.0208477       0.999274       0.374591       0.637638       0.683928        0.99093              0
      0.0271132       0.999188         0.3862       0.650651       0.677193       0.986395      0.0210767       0.999261       0.376948       0.640498       0.682423       0.989796      0.0113269
      0.0223285       0.999188       0.380021       0.647648       0.677193       0.986395      0.0213058       0.999246       0.377684       0.642214       0.681419       0.988662      0.0145631
      0.0223285       0.999188       0.375901       0.644645       0.677193       0.986395      0.0219931       0.999246        0.37929       0.642929       0.680416       0.987528      0.0145631
      0.0223285       0.999188       0.375901       0.645646       0.677193       0.986395      0.0222222       0.999246       0.379585       0.644359       0.679412       0.986395      0.0161812
      0.0175439       0.999087       0.376931       0.644645       0.677193       0.986395      0.0219931       0.999232        0.37929       0.645217        0.67891       0.986395     0.00970874
      0.0143541       0.999188       0.378991       0.643644       0.677193       0.986395      0.0215349       0.999232        0.37929       0.646075       0.678408       0.986395     0.00809061
      0.0255183       0.999188       0.389289       0.645646       0.680702       0.986395      0.0219931       0.999217        0.38091       0.646075       0.678408       0.986395     0.00970874
      0.0287081       0.999188       0.395469       0.648649       0.680702       0.986395      0.0222222       0.999217       0.382236       0.645789        0.67891       0.986395      0.0113269
