      -nan(ind)      -nan(ind)          3.753 (weight == 1)
      -nan(ind)      -nan(ind)          3.628 (weight == 1)
      -nan(ind)      -nan(ind)          2.286 (weight == 1)
          2.537      -nan(ind)          3.728 (weight == 1)
      -nan(ind)          3.731          3.651 (weight == 1)
      -nan(ind)      -nan(ind)           3.18 (weight == 1)
      -nan(ind)      -nan(ind)          3.029 (weight == 1)
      -nan(ind)      -nan(ind)          2.125 (weight == 1)
      -nan(ind)          2.793          3.378 (weight == 1)
          3.088      -nan(ind)          3.277 (weight == 1)
      -nan(ind)      -nan(ind)          2.627 (weight == 1)
          2.996      -nan(ind)          2.404 (weight == 1)
      -nan(ind)      -nan(ind)           2.34 (weight == 1)
      -nan(ind)      -nan(ind)          2.887 (weight == 1)
      -nan(ind)          3.577          2.036 (weight == 1)
          2.278      -nan(ind)          2.022 (weight == 1)
      -nan(ind)      -nan(ind)          2.804 (weight == 1)
      -nan(ind)          3.023          3.371 (weight == 1)
      -nan(ind)      -nan(ind)           2.02 (weight == 1)
          3.756      -nan(ind)          2.756 (weight == 1)
      -nan(ind)      -nan(ind)          3.126 (weight == 1)
      -nan(ind)          2.711          3.551 (weight == 1)
          2.179      -nan(ind)          3.781 (weight == 1)
      -nan(ind)          2.106           2.16 (weight == 1)
      -nan(ind)      -nan(ind)          3.561 (weight == 1)
      -nan(ind)      -nan(ind)          3.052 (weight == 1)
          2.306      -nan(ind)          3.875 (weight == 1)
      -nan(ind)      -nan(ind)          2.909 (weight == 1)
      -nan(ind)      -nan(ind)          3.349 (weight == 1)
      -nan(ind)      -nan(ind)           3.37 (weight == 1)
      -nan(ind)      -nan(ind)          2.624 (weight == 1)
      -nan(ind)          3.317          3.949 (weight == 1)
      -nan(ind)      -nan(ind)          2.743 (weight == 1)
      -nan(ind)      -nan(ind)            3.1 (weight == 1)
      -nan(ind)      -nan(ind)          3.327 (weight == 1)
      -nan(ind)          3.896          3.339 (weight == 1)
      -nan(ind)      -nan(ind)          3.498 (weight == 1)
      -nan(ind)      -nan(ind)          2.122 (weight == 1)
          2.893      -nan(ind)          2.898 (weight == 1)
          2.412      -nan(ind)          3.768 (weight == 1)
      -nan(ind)          3.082          3.135 (weight == 1)
          3.609      -nan(ind)            3.4 (weight == 1)
      -nan(ind)          3.397          3.627 (weight == 1)
      -nan(ind)      -nan(ind)          2.508 (weight == 1)
      -nan(ind)          2.205          2.298 (weight == 1)
          2.764      -nan(ind)          3.281 (weight == 1)
      -nan(ind)      -nan(ind)          3.317 (weight == 1)
          2.371          2.722          3.116 (weight == 1)
      -nan(ind)      -nan(ind)          0.203 (weight == 1)
      -nan(ind)      -nan(ind)          0.116 (weight == 1)
      -nan(ind)      -nan(ind)           0.69 (weight == 1)
          0.107          0.705          0.954 (weight == 1)
          0.081      -nan(ind)          0.936 (weight == 1)
      -nan(ind)      -nan(ind)          0.976 (weight == 1)
      -nan(ind)      -nan(ind)          0.469 (weight == 1)
          0.269      -nan(ind)          0.948 (weight == 1)
      -nan(ind)      -nan(ind)          0.767 (weight == 1)
      -nan(ind)          0.582          0.654 (weight == 1)
      -nan(ind)      -nan(ind)          0.113 (weight == 1)
      -nan(ind)          0.962          0.411 (weight == 1)
          0.297      -nan(ind)          0.898 (weight == 1)
      -nan(ind)      -nan(ind)          0.588 (weight == 1)
      -nan(ind)      -nan(ind)          0.682 (weight == 1)
      -nan(ind)          0.197          0.556 (weight == 1)
      -nan(ind)      -nan(ind)          0.019 (weight == 1)
      -nan(ind)          0.159          0.224 (weight == 1)
          0.877      -nan(ind)          0.774 (weight == 1)
      -nan(ind)      -nan(ind)          0.268 (weight == 1)
          0.562          0.283          0.931 (weight == 1)
      -nan(ind)      -nan(ind)          0.283 (weight == 1)
      -nan(ind)      -nan(ind)          0.366 (weight == 1)
      -nan(ind)          0.352          0.711 (weight == 1)
          0.006      -nan(ind)          0.365 (weight == 1)
      -nan(ind)      -nan(ind)          0.425 (weight == 1)
      -nan(ind)          0.969          0.432 (weight == 1)
           0.19      -nan(ind)            0.6 (weight == 1)
      -nan(ind)      -nan(ind)          0.773 (weight == 1)
      -nan(ind)      -nan(ind)          0.986 (weight == 1)
      -nan(ind)      -nan(ind)          0.361 (weight == 1)
      -nan(ind)      -nan(ind)          0.058 (weight == 1)
      -nan(ind)      -nan(ind)          0.392 (weight == 1)
      -nan(ind)      -nan(ind)          0.934 (weight == 1)
          0.529      -nan(ind)          0.726 (weight == 1)
      -nan(ind)          0.628          0.461 (weight == 1)
      -nan(ind)      -nan(ind)          0.339 (weight == 1)
      -nan(ind)      -nan(ind)          0.697 (weight == 1)
      -nan(ind)      -nan(ind)          0.404 (weight == 1)
      -nan(ind)          0.745          0.169 (weight == 1)
      -nan(ind)      -nan(ind)          0.031 (weight == 1)
          0.521          0.529          0.032 (weight == 1)
      -nan(ind)      -nan(ind)          0.618 (weight == 1)
      -nan(ind)      -nan(ind)          0.563 (weight == 1)
      -nan(ind)      -nan(ind)          0.705 (weight == 1)
      -nan(ind)          0.297          0.574 (weight == 1)
      -nan(ind)      -nan(ind)          0.886 (weight == 1)
          0.954      -nan(ind)          0.282 (weight == 1)
          0.132      -nan(ind)          0.335 (weight == 1)
      -nan(ind)      -nan(ind)          0.242 (weight == 1)
      -nan(ind)          3.668           3.18 (weight == 1)
          2.122      -nan(ind)          3.029 (weight == 1)
