      -nan(ind)      -nan(ind)          4.243 (weight == 1)
         3.7367      -nan(ind)         3.7614 (weight == 1)
      -nan(ind)      -nan(ind)         3.6361 (weight == 1)
      -nan(ind)         2.9041         2.1818 (weight == 1)
      -nan(ind)      -nan(ind)         1.6613 (weight == 1)
      -nan(ind)      -nan(ind)         1.9702 (weight == 1)
      -nan(ind)      -nan(ind)         3.7275 (weight == 1)
      -nan(ind)         4.4863         4.5653 (weight == 1)
      -nan(ind)      -nan(ind)         2.6296 (weight == 1)
         3.5438      -nan(ind)         3.0115 (weight == 1)
      -nan(ind)      -nan(ind)         2.4366 (weight == 1)
         3.9166         2.3055         2.9086 (weight == 1)
      -nan(ind)      -nan(ind)         4.1211 (weight == 1)
      -nan(ind)      -nan(ind)         2.2598 (weight == 1)
      -nan(ind)      -nan(ind)         2.3016 (weight == 1)
         1.7393         3.1079         2.1194 (weight == 1)
      -nan(ind)      -nan(ind)         4.7629 (weight == 1)
      -nan(ind)      -nan(ind)         2.1381 (weight == 1)
      -nan(ind)      -nan(ind)         3.1418 (weight == 1)
      -nan(ind)         2.7328         3.4828 (weight == 1)
      -nan(ind)      -nan(ind)         4.8345 (weight == 1)
         4.7821      -nan(ind)          4.684 (weight == 1)
      -nan(ind)      -nan(ind)         1.2781 (weight == 1)
      -nan(ind)          2.094         2.2156 (weight == 1)
         1.0923      -nan(ind)         2.8037 (weight == 1)
      -nan(ind)      -nan(ind)         1.5612 (weight == 1)
         3.6974      -nan(ind)         1.7291 (weight == 1)
      -nan(ind)         3.9515         2.6533 (weight == 1)
      -nan(ind)      -nan(ind)          3.778 (weight == 1)
         1.8721      -nan(ind)         2.3903 (weight == 1)
      -nan(ind)      -nan(ind)         3.7605 (weight == 1)
      -nan(ind)         1.8463         4.9449 (weight == 1)
      -nan(ind)      -nan(ind)         1.2435 (weight == 1)
         4.7432      -nan(ind)         4.2761 (weight == 1)
      -nan(ind)      -nan(ind)         2.1589 (weight == 1)
      -nan(ind)         2.5741         3.1309 (weight == 1)
      -nan(ind)      -nan(ind)         3.4697 (weight == 1)
      -nan(ind)      -nan(ind)         3.4049 (weight == 1)
         2.9813      -nan(ind)         4.6091 (weight == 1)
      -nan(ind)         1.5739         4.4775 (weight == 1)
      -nan(ind)      -nan(ind)         1.9514 (weight == 1)
         2.5028      -nan(ind)         3.5869 (weight == 1)
      -nan(ind)      -nan(ind)         3.5464 (weight == 1)
      -nan(ind)         4.6053         1.9467 (weight == 1)
      -nan(ind)      -nan(ind)         1.2662 (weight == 1)
         2.9354      -nan(ind)         2.6187 (weight == 1)
      -nan(ind)      -nan(ind)         2.8619 (weight == 1)
         2.6831         3.0898         1.6709 (weight == 1)
      -nan(ind)      -nan(ind)         3.7205 (weight == 1)
         4.1749      -nan(ind)         3.3414 (weight == 1)
      -nan(ind)      -nan(ind)         4.1412 (weight == 1)
      -nan(ind)         4.6483         3.5039 (weight == 1)
      -nan(ind)      -nan(ind)          6.535 (weight == 1)
      -nan(ind)      -nan(ind)         5.9645 (weight == 1)
         3.1287      -nan(ind)         4.4647 (weight == 1)
      -nan(ind)         5.2529         5.5261 (weight == 1)
      -nan(ind)      -nan(ind)         5.8723 (weight == 1)
      -nan(ind)      -nan(ind)         4.5922 (weight == 1)
         5.3579      -nan(ind)         4.1088 (weight == 1)
      -nan(ind)         3.6783         3.6774 (weight == 1)
      -nan(ind)      -nan(ind)         3.7599 (weight == 1)
      -nan(ind)      -nan(ind)           4.83 (weight == 1)
      -nan(ind)      -nan(ind)         5.3805 (weight == 1)
      -nan(ind)         6.4801         4.9774 (weight == 1)
      -nan(ind)      -nan(ind)         6.0219 (weight == 1)
      -nan(ind)      -nan(ind)         4.9399 (weight == 1)
          5.575      -nan(ind)         3.6759 (weight == 1)
      -nan(ind)         4.4731          5.829 (weight == 1)
      -nan(ind)      -nan(ind)         3.8987 (weight == 1)
         5.8022      -nan(ind)          6.136 (weight == 1)
      -nan(ind)      -nan(ind)         5.5829 (weight == 1)
      -nan(ind)          4.699         4.0764 (weight == 1)
      -nan(ind)      -nan(ind)         6.1904 (weight == 1)
      -nan(ind)      -nan(ind)         6.3732 (weight == 1)
         6.1317      -nan(ind)          4.493 (weight == 1)
      -nan(ind)         6.7727         5.2399 (weight == 1)
         3.4869      -nan(ind)         6.2775 (weight == 1)
      -nan(ind)      -nan(ind)         5.1461 (weight == 1)
