0.09,984.80,36.20,62.70,19.50,14.70,0.39,6893.42,254.02,437.88,136.22,87.80,0.13
0.08,984.70,35.62,63.00,19.59,14.70,0.45,6893.32,253.03,439.08,136.41,87.90,0.13
0.12,984.70,35.30,62.70,19.50,14.60,0.55,6893.22,251.80,439.38,136.51,88.00,0.12
0.15,984.79,35.91,63.00,19.60,14.60,0.66,6893.21,251.60,439.48,136.61,88.00,0.14
0.13,984.80,36.40,63.50,19.50,14.60,0.74,6893.29,252.02,440.69,136.69,88.00,0.17
0.12,984.70,35.41,63.90,19.50,14.60,0.79,6893.29,251.23,441.71,136.69,87.90,0.14
0.13,984.70,36.30,63.50,19.50,14.60,0.82,6893.19,251.13,442.31,136.69,87.80,0.14
0.13,984.70,36.80,63.80,19.40,14.50,0.86,6893.09,251.73,443.40,136.59,87.70,0.14
0.12,984.70,36.80,63.70,19.40,14.50,0.89,6893.09,252.91,444.10,136.40,87.50,0.11
0.14,984.80,36.70,64.50,19.40,14.50,0.91,6893.19,254.31,445.90,136.30,87.40,0.09
0.17,984.70,37.50,65.00,19.30,14.50,0.92,6893.10,255.91,447.90,136.00,87.30,0.16
0.14,984.70,36.90,64.70,19.30,14.50,0.93,6893.00,256.41,449.10,135.80,87.20,0.18
0.14,984.70,36.50,64.40,19.30,14.50,0.96,6893.00,257.50,449.60,135.60,87.10,0.18
0.14,984.70,36.50,64.50,19.30,14.50,0.97,6893.00,257.70,450.60,135.40,87.00,0.19
0.11,984.60,36.60,64.40,19.30,14.50,0.96,6892.90,257.50,451.20,135.30,87.00,0.15
0.09,984.70,36.80,64.30,19.30,14.50,0.94,6892.90,257.50,451.80,135.20,87.00,0.14
0.16,984.70,37.80,64.50,19.40,14.50,0.96,6892.80,258.60,451.80,135.20,87.00,0.15
0.18,984.70,38.40,64.80,19.40,14.50,0.97,6892.80,259.50,451.60,135.30,87.00,0.16
0.18,984.70,37.50,65.10,19.50,14.50,1.01,6892.80,260.10,452.00,135.50,87.00,0.21
0.19,984.70,38.00,65.20,19.50,14.50,1.06,6892.80,261.60,452.80,135.70,87.00,0.17
0.15,984.70,37.42,64.70,19.50,14.50,1.06,6892.80,262.52,453.00,135.90,87.00,0.12
0.14,984.60,37.50,64.30,19.50,14.50,1.09,6892.80,263.42,452.90,136.10,87.00,0.20
0.15,984.60,36.15,64.90,19.40,14.50,1.15,6892.70,262.78,453.50,136.20,87.00,0.14
0.16,984.70,36.30,64.30,19.40,14.50,1.15,6892.70,261.28,453.30,136.20,87.00,0.16
0.21,984.67,36.40,64.30,19.40,14.50,1.19,6892.67,259.28,452.80,136.20,87.00,0.17
0.17,984.60,36.70,63.90,19.40,14.50,1.18,6892.57,258.48,451.60,136.10,87.00,0.21
0.12,984.62,35.90,64.00,19.30,14.50,1.11,6892.49,256.38,450.40,135.90,87.00,0.16
0.20,984.60,36.80,64.00,19.30,14.50,1.16,6892.39,255.75,449.70,135.70,87.00,0.17
0.14,984.70,36.51,63.80,19.30,14.50,1.16,6892.49,254.77,449.20,135.50,87.00,0.17
0.16,984.60,37.30,64.40,19.30,14.50,1.17,6892.49,255.91,448.70,135.40,87.00,0.18
0.17,984.60,36.90,63.90,19.20,14.50,1.18,6892.39,256.51,448.30,135.20,87.00,0.16
0.21,984.60,38.10,63.90,19.20,14.50,1.17,6892.32,258.21,447.90,135.00,87.00,0.19
0.16,984.60,37.20,64.60,19.20,14.50,1.16,6892.32,258.71,448.60,134.80,87.00,0.29
0.17,984.60,37.50,63.70,19.30,14.50,1.21,6892.30,260.31,448.30,134.80,87.00,0.22
0.17,984.60,37.90,64.40,19.30,14.50,1.18,6892.30,261.41,448.70,134.80,87.00,0.15
0.18,984.60,37.70,64.30,19.30,14.50,1.22,6892.20,262.60,449.20,134.80,87.00,0.18
0.16,984.60,37.30,64.40,19.30,14.50,1.22,6892.20,262.60,449.20,134.80,87.00,0.18
0.19,984.50,37.10,64.40,19.40,14.50,1.24,6892.10,262.80,449.70,135.00,87.00,0.20
0.29,984.50,37.00,63.90,19.30,14.50,1.31,6892.00,261.70,449.70,135.10,87.00,0.21
0.22,984.50,37.80,64.50,19.30,14.50,1.37,6891.90,262.30,449.60,135.20,87.00,0.19
0.15,984.50,37.50,64.60,19.40,14.60,1.35,6891.80,262.30,450.50,135.30,87.00,0.21
0.18,984.60,37.50,65.12,19.40,14.60,1.37,6891.80,261.90,451.22,135.40,87.10,0.21
0.18,984.60,37.10,64.68,19.30,14.60,1.37,6891.80,261.30,451.60,135.40,87.20,0.19
0.20,984.50,36.70,64.90,19.30,14.60,1.41,6891.70,260.70,452.10,135.40,87.30,0.19
0.21,984.50,37.40,64.42,19.30,14.60,1.44,6891.70,261.00,452.12,135.30,87.40,0.24
0.19,984.60,37.20,65.10,19.30,14.60,1.34,6891.80,261.20,453.32,135.30,87.50,0.41
0.21,984.60,37.60,64.80,19.30,14.60,1.33,6891.90,261.00,453.62,135.30,87.60,0.29
0.21,984.50,37.10,63.90,19.30,14.60,1.39,6891.90,260.60,452.92,135.20,87.60,0.26
0.19,984.50,37.20,64.30,19.30,14.60,1.40,6891.80,260.30,452.10,135.10,87.60,0.19
